#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 09 10 00 140  9.3  9.5 99.00 99.00 99.00 999 1018.9  18.3 999.0  16.7 99.0 99.00
2012 01 09 11 00 143  6.1  6.3 99.00 99.00 99.00 999 1019.7  18.3 999.0  16.5 99.0 99.00
2012 01 09 12 00 134  9.5  9.6 99.00 99.00 99.00 999 1018.4  18.2 999.0  16.2 99.0 99.00
2012 01 09 13 00 138  7.5  7.6 99.00 99.00 99.00 999 1019.0  18.5 999.0  16.6 99.0 99.00
2012 01 09 14 00 149  7.9  8.0 99.00 99.00 99.00 999 1020.0  18.6 999.0  16.4 99.0 99.00
2012 01 09 15 00 143  8.6  8.9 99.00 99.00 99.00 999 1020.2  19.2 999.0  16.8 99.0 99.00
2012 01 09 16 00 138  9.6  9.7 99.00 99.00 99.00 999 1020.1  18.3 999.0  16.2 99.0 99.00
2012 01 09 17 00 139  8.9  9.0 99.00 99.00 99.00 999 1019.7  18.8 999.0  16.0 99.0 99.00
2012 01 09 18 00 137  8.7  8.8 99.00 99.00 99.00 999 1018.9  18.5 999.0  16.5 99.0 99.00
2012 01 09 19 00 128  7.1  7.2 99.00 99.00 99.00 999 1018.4  18.5 999.0  16.7 99.0 99.00
2012 01 09 20 00 129  7.6  7.7 99.00 99.00 99.00 999 1017.6  19.0 999.0  17.5 99.0 99.00
2012 01 09 21 00 137  8.5  8.8 99.00 99.00 99.00 999 1017.2  19.3 999.0  18.3 99.0 99.00
2012 01 09 22 00 134 10.6 10.9 99.00 99.00 99.00 999 1017.2  18.6 999.0  17.1 99.0 99.00
2012 01 09 23 00 142  8.0  8.5 99.00 99.00 99.00 999 1017.4  18.3 999.0  17.1 99.0 99.00
2012 01 10 00 00 130  8.8  8.9 99.00 99.00 99.00 999 1017.0  18.6 999.0  16.8 99.0 99.00
2012 01 10 01 00 128  9.6  9.7 99.00 99.00 99.00 999 1016.6  18.6 999.0  17.8 99.0 99.00
2012 01 10 02 00 127  9.0  9.1 99.00 99.00 99.00 999 1017.0  18.4 999.0  17.8 99.0 99.00
2012 01 10 03 00 130  8.8  9.0 99.00 99.00 99.00 999 1016.9  18.5 999.0  17.9 99.0 99.00
2012 01 10 04 00 141  7.8  8.0 99.00 99.00 99.00 999 1017.0  19.2 999.0  19.0 99.0 99.00
2012 01 10 05 00 149  7.1  7.4 99.00 99.00 99.00 999 1016.6  17.9 999.0  17.8 99.0 99.00
2012 01 10 06 00 147  8.1  8.2 99.00 99.00 99.00 999 1015.4  20.4 999.0  20.2 99.0 99.00
2012 01 10 07 00 164  9.1  9.3 99.00 99.00 99.00 999 1015.6  19.3 999.0  18.8 99.0 99.00
2012 01 10 08 00 166  8.5  8.8 99.00 99.00 99.00 999 1015.2  19.7 999.0  19.1 99.0 99.00
2012 01 10 09 00 164  9.2  9.4 99.00 99.00 99.00 999 1014.6  19.8 999.0  19.1 99.0 99.00
